id_nota,nota,fecha_registro,id_postulante,id_docente,id_materia,id_examen
1,81.00,"2024-09-20 10:00:00",41,21,1,1
2,86.00,"2024-09-20 10:00:00",41,21,1,2
3,91.00,"2024-09-20 10:00:00",41,21,1,3
4,88.00,"2024-09-20 10:00:00",41,21,2,1
5,93.00,"2024-09-20 10:00:00",41,21,2,2
6,68.00,"2024-09-20 10:00:00",41,21,2,3
7,95.00,"2024-09-20 10:00:00",41,21,3,1
8,70.00,"2024-09-20 10:00:00",41,21,3,2
9,75.00,"2024-09-20 10:00:00",41,21,3,3
10,72.00,"2024-09-20 10:00:00",41,27,4,1
11,77.00,"2024-09-20 10:00:00",41,27,4,2
12,82.00,"2024-09-20 10:00:00",41,27,4,3
13,94.00,"2024-09-20 10:00:00",42,21,1,1
14,69.00,"2024-09-20 10:00:00",42,21,1,2
15,74.00,"2024-09-20 10:00:00",42,21,1,3
16,71.00,"2024-09-20 10:00:00",42,21,2,1
17,76.00,"2024-09-20 10:00:00",42,21,2,2
18,81.00,"2024-09-20 10:00:00",42,21,2,3
19,78.00,"2024-09-20 10:00:00",42,21,3,1
20,83.00,"2024-09-20 10:00:00",42,21,3,2
21,88.00,"2024-09-20 10:00:00",42,21,3,3
22,85.00,"2024-09-20 10:00:00",42,27,4,1
23,90.00,"2024-09-20 10:00:00",42,27,4,2
24,95.00,"2024-09-20 10:00:00",42,27,4,3
25,77.00,"2024-09-20 10:00:00",43,21,1,1
26,82.00,"2024-09-20 10:00:00",43,21,1,2
27,87.00,"2024-09-20 10:00:00",43,21,1,3
28,84.00,"2024-09-20 10:00:00",43,21,2,1
29,89.00,"2024-09-20 10:00:00",43,21,2,2
30,94.00,"2024-09-20 10:00:00",43,21,2,3
31,91.00,"2024-09-20 10:00:00",43,21,3,1
32,66.00,"2024-09-20 10:00:00",43,21,3,2
33,71.00,"2024-09-20 10:00:00",43,21,3,3
34,68.00,"2024-09-20 10:00:00",43,27,4,1
35,73.00,"2024-09-20 10:00:00",43,27,4,2
36,68.00,"2024-09-20 10:00:00",43,27,4,3
37,90.00,"2024-09-20 10:00:00",44,21,1,1
38,95.00,"2024-09-20 10:00:00",44,21,1,2
39,70.00,"2024-09-20 10:00:00",44,21,1,3
40,67.00,"2024-09-20 10:00:00",44,21,2,1
41,72.00,"2024-09-20 10:00:00",44,21,2,2
42,67.00,"2024-09-20 10:00:00",44,21,2,3
43,74.00,"2024-09-20 10:00:00",44,21,3,1
44,69.00,"2024-09-20 10:00:00",44,21,3,2
45,74.00,"2024-09-20 10:00:00",44,21,3,3
46,71.00,"2024-09-20 10:00:00",44,27,4,1
47,76.00,"2024-09-20 10:00:00",44,27,4,2
48,81.00,"2024-09-20 10:00:00",44,27,4,3
49,72.00,"2024-09-20 10:00:00",45,21,1,1
50,64.00,"2024-09-20 10:00:00",45,21,1,2
51,69.00,"2024-09-20 10:00:00",45,21,1,3
52,42.00,"2024-09-20 10:00:00",45,21,2,1
53,47.00,"2024-09-20 10:00:00",45,21,2,2
54,52.00,"2024-09-20 10:00:00",45,21,2,3
55,73.00,"2024-09-20 10:00:00",45,21,3,1
56,78.00,"2024-09-20 10:00:00",45,21,3,2
57,83.00,"2024-09-20 10:00:00",45,21,3,3
58,80.00,"2024-09-20 10:00:00",45,27,4,1
59,85.00,"2024-09-20 10:00:00",45,27,4,2
60,90.00,"2024-09-20 10:00:00",45,27,4,3
61,72.00,"2024-09-20 10:00:00",46,21,1,1
62,77.00,"2024-09-20 10:00:00",46,21,1,2
63,82.00,"2024-09-20 10:00:00",46,21,1,3
64,79.00,"2024-09-20 10:00:00",46,21,2,1
65,84.00,"2024-09-20 10:00:00",46,21,2,2
66,89.00,"2024-09-20 10:00:00",46,21,2,3
67,44.00,"2024-09-20 10:00:00",46,21,3,1
68,49.00,"2024-09-20 10:00:00",46,21,3,2
69,54.00,"2024-09-20 10:00:00",46,21,3,3
70,64.00,"2024-09-20 10:00:00",46,27,4,1
71,69.00,"2024-09-20 10:00:00",46,27,4,2
72,74.00,"2024-09-20 10:00:00",46,27,4,3
73,85.00,"2024-09-20 10:00:00",47,21,1,1
74,90.00,"2024-09-20 10:00:00",47,21,1,2
75,66.00,"2024-09-20 10:00:00",47,21,1,3
76,63.00,"2024-09-20 10:00:00",47,21,2,1
77,68.00,"2024-09-20 10:00:00",47,21,2,2
78,73.00,"2024-09-20 10:00:00",47,21,2,3
79,70.00,"2024-09-20 10:00:00",47,21,3,1
80,75.00,"2024-09-20 10:00:00",47,21,3,2
81,80.00,"2024-09-20 10:00:00",47,21,3,3
82,46.00,"2024-09-20 10:00:00",47,27,4,1
83,51.00,"2024-09-20 10:00:00",47,27,4,2
84,38.00,"2024-09-20 10:00:00",47,27,4,3
85,38.00,"2024-09-20 10:00:00",48,21,1,1
86,43.00,"2024-09-20 10:00:00",48,21,1,2
87,48.00,"2024-09-20 10:00:00",48,21,1,3
88,76.00,"2024-09-20 10:00:00",48,21,2,1
89,81.00,"2024-09-20 10:00:00",48,21,2,2
90,86.00,"2024-09-20 10:00:00",48,21,2,3
91,83.00,"2024-09-20 10:00:00",48,21,3,1
92,88.00,"2024-09-20 10:00:00",48,21,3,2
93,64.00,"2024-09-20 10:00:00",48,21,3,3
94,90.00,"2024-09-20 10:00:00",48,27,4,1
95,66.00,"2024-09-20 10:00:00",48,27,4,2
96,71.00,"2024-09-20 10:00:00",48,27,4,3
97,85.00,"2024-09-20 10:00:00",49,21,1,1
98,90.00,"2024-09-20 10:00:00",49,21,1,2
99,95.00,"2024-09-20 10:00:00",49,21,1,3
100,92.00,"2024-09-20 10:00:00",49,21,2,1
101,67.00,"2024-09-20 10:00:00",49,21,2,2
102,72.00,"2024-09-20 10:00:00",49,21,2,3
103,69.00,"2024-09-20 10:00:00",49,21,3,1
104,74.00,"2024-09-20 10:00:00",49,21,3,2
105,79.00,"2024-09-20 10:00:00",49,21,3,3
106,76.00,"2024-09-20 10:00:00",49,27,4,1
107,81.00,"2024-09-20 10:00:00",49,27,4,2
108,86.00,"2024-09-20 10:00:00",49,27,4,3
109,68.00,"2024-09-20 10:00:00",50,21,1,1
110,73.00,"2024-09-20 10:00:00",50,21,1,2
111,78.00,"2024-09-20 10:00:00",50,21,1,3
112,75.00,"2024-09-20 10:00:00",50,21,2,1
113,80.00,"2024-09-20 10:00:00",50,21,2,2
114,85.00,"2024-09-20 10:00:00",50,21,2,3
115,82.00,"2024-09-20 10:00:00",50,21,3,1
116,87.00,"2024-09-20 10:00:00",50,21,3,2
117,92.00,"2024-09-20 10:00:00",50,21,3,3
118,89.00,"2024-09-20 10:00:00",50,27,4,1
119,94.00,"2024-09-20 10:00:00",50,27,4,2
120,69.00,"2024-09-20 10:00:00",50,27,4,3
121,81.00,"2024-09-20 10:00:00",51,21,1,1
122,86.00,"2024-09-20 10:00:00",51,21,1,2
123,91.00,"2024-09-20 10:00:00",51,21,1,3
124,88.00,"2024-09-20 10:00:00",51,21,2,1
125,93.00,"2024-09-20 10:00:00",51,21,2,2
126,68.00,"2024-09-20 10:00:00",51,21,2,3
127,95.00,"2024-09-20 10:00:00",51,21,3,1
128,70.00,"2024-09-20 10:00:00",51,21,3,2
129,75.00,"2024-09-20 10:00:00",51,21,3,3
130,72.00,"2024-09-20 10:00:00",51,27,4,1
131,67.00,"2024-09-20 10:00:00",51,27,4,2
132,72.00,"2024-09-20 10:00:00",51,27,4,3
133,94.00,"2024-09-20 10:00:00",52,21,1,1
134,69.00,"2024-09-20 10:00:00",52,21,1,2
135,74.00,"2024-09-20 10:00:00",52,21,1,3
136,71.00,"2024-09-20 10:00:00",52,21,2,1
137,66.00,"2024-09-20 10:00:00",52,21,2,2
138,71.00,"2024-09-20 10:00:00",52,21,2,3
139,68.00,"2024-09-20 10:00:00",52,21,3,1
140,73.00,"2024-09-20 10:00:00",52,21,3,2
141,78.00,"2024-09-20 10:00:00",52,21,3,3
142,75.00,"2024-09-20 10:00:00",52,27,4,1
143,80.00,"2024-09-20 10:00:00",52,27,4,2
144,85.00,"2024-09-20 10:00:00",52,27,4,3
145,63.00,"2024-09-20 10:00:00",53,21,1,1
146,68.00,"2024-09-20 10:00:00",53,21,1,2
147,73.00,"2024-09-20 10:00:00",53,21,1,3
148,46.00,"2024-09-20 10:00:00",53,21,2,1
149,51.00,"2024-09-20 10:00:00",53,21,2,2
150,38.00,"2024-09-20 10:00:00",53,21,2,3
151,77.00,"2024-09-20 10:00:00",53,21,3,1
152,82.00,"2024-09-20 10:00:00",53,21,3,2
153,87.00,"2024-09-20 10:00:00",53,21,3,3
154,84.00,"2024-09-20 10:00:00",53,27,4,1
155,89.00,"2024-09-20 10:00:00",53,27,4,2
156,65.00,"2024-09-20 10:00:00",53,27,4,3
157,76.00,"2024-09-20 10:00:00",54,21,1,1
158,81.00,"2024-09-20 10:00:00",54,21,1,2
159,86.00,"2024-09-20 10:00:00",54,21,1,3
160,83.00,"2024-09-20 10:00:00",54,21,2,1
161,88.00,"2024-09-20 10:00:00",54,21,2,2
162,64.00,"2024-09-20 10:00:00",54,21,2,3
163,48.00,"2024-09-20 10:00:00",54,21,3,1
164,53.00,"2024-09-20 10:00:00",54,21,3,2
165,40.00,"2024-09-20 10:00:00",54,21,3,3
166,68.00,"2024-09-20 10:00:00",54,27,4,1
167,73.00,"2024-09-20 10:00:00",54,27,4,2
168,78.00,"2024-09-20 10:00:00",54,27,4,3
169,89.00,"2024-09-20 10:00:00",55,21,1,1
170,65.00,"2024-09-20 10:00:00",55,21,1,2
171,70.00,"2024-09-20 10:00:00",55,21,1,3
172,67.00,"2024-09-20 10:00:00",55,21,2,1
173,72.00,"2024-09-20 10:00:00",55,21,2,2
174,77.00,"2024-09-20 10:00:00",55,21,2,3
175,74.00,"2024-09-20 10:00:00",55,21,3,1
176,79.00,"2024-09-20 10:00:00",55,21,3,2
177,84.00,"2024-09-20 10:00:00",55,21,3,3
178,50.00,"2024-09-20 10:00:00",55,27,4,1
179,55.00,"2024-09-20 10:00:00",55,27,4,2
180,42.00,"2024-09-20 10:00:00",55,27,4,3
181,42.00,"2024-09-20 10:00:00",56,21,1,1
182,47.00,"2024-09-20 10:00:00",56,21,1,2
183,52.00,"2024-09-20 10:00:00",56,21,1,3
184,80.00,"2024-09-20 10:00:00",56,21,2,1
185,85.00,"2024-09-20 10:00:00",56,21,2,2
186,90.00,"2024-09-20 10:00:00",56,21,2,3
187,87.00,"2024-09-20 10:00:00",56,21,3,1
188,63.00,"2024-09-20 10:00:00",56,21,3,2
189,68.00,"2024-09-20 10:00:00",56,21,3,3
190,65.00,"2024-09-20 10:00:00",56,27,4,1
191,70.00,"2024-09-20 10:00:00",56,27,4,2
192,75.00,"2024-09-20 10:00:00",56,27,4,3
193,89.00,"2024-09-20 10:00:00",57,21,1,1
194,94.00,"2024-09-20 10:00:00",57,21,1,2
195,69.00,"2024-09-20 10:00:00",57,21,1,3
196,66.00,"2024-09-20 10:00:00",57,21,2,1
197,71.00,"2024-09-20 10:00:00",57,21,2,2
198,76.00,"2024-09-20 10:00:00",57,21,2,3
199,73.00,"2024-09-20 10:00:00",57,21,3,1
200,78.00,"2024-09-20 10:00:00",57,21,3,2
201,83.00,"2024-09-20 10:00:00",57,21,3,3
202,80.00,"2024-09-20 10:00:00",57,27,4,1
203,85.00,"2024-09-20 10:00:00",57,27,4,2
204,90.00,"2024-09-20 10:00:00",57,27,4,3
205,72.00,"2024-09-20 10:00:00",58,21,1,1
206,77.00,"2024-09-20 10:00:00",58,21,1,2
207,82.00,"2024-09-20 10:00:00",58,21,1,3
208,79.00,"2024-09-20 10:00:00",58,21,2,1
209,84.00,"2024-09-20 10:00:00",58,21,2,2
210,89.00,"2024-09-20 10:00:00",58,21,2,3
211,86.00,"2024-09-20 10:00:00",58,21,3,1
212,91.00,"2024-09-20 10:00:00",58,21,3,2
213,66.00,"2024-09-20 10:00:00",58,21,3,3
214,93.00,"2024-09-20 10:00:00",58,27,4,1
215,68.00,"2024-09-20 10:00:00",58,27,4,2
216,73.00,"2024-09-20 10:00:00",58,27,4,3
217,85.00,"2024-09-20 10:00:00",59,21,1,1
218,90.00,"2024-09-20 10:00:00",59,21,1,2
219,95.00,"2024-09-20 10:00:00",59,21,1,3
220,92.00,"2024-09-20 10:00:00",59,21,2,1
221,67.00,"2024-09-20 10:00:00",59,21,2,2
222,72.00,"2024-09-20 10:00:00",59,21,2,3
223,69.00,"2024-09-20 10:00:00",59,21,3,1
224,74.00,"2024-09-20 10:00:00",59,21,3,2
225,69.00,"2024-09-20 10:00:00",59,21,3,3
226,66.00,"2024-09-20 10:00:00",59,27,4,1
227,71.00,"2024-09-20 10:00:00",59,27,4,2
228,76.00,"2024-09-20 10:00:00",59,27,4,3
229,68.00,"2024-09-20 10:00:00",60,21,1,1
230,73.00,"2024-09-20 10:00:00",60,21,1,2
231,68.00,"2024-09-20 10:00:00",60,21,1,3
232,75.00,"2024-09-20 10:00:00",60,21,2,1
233,70.00,"2024-09-20 10:00:00",60,21,2,2
234,75.00,"2024-09-20 10:00:00",60,21,2,3
235,72.00,"2024-09-20 10:00:00",60,21,3,1
236,77.00,"2024-09-20 10:00:00",60,21,3,2
237,82.00,"2024-09-20 10:00:00",60,21,3,3
238,79.00,"2024-09-20 10:00:00",60,27,4,1
239,84.00,"2024-09-20 10:00:00",60,27,4,2
240,89.00,"2024-09-20 10:00:00",60,27,4,3
241,67.00,"2024-09-20 10:00:00",61,21,1,1
242,72.00,"2024-09-20 10:00:00",61,21,1,2
243,77.00,"2024-09-20 10:00:00",61,21,1,3
244,50.00,"2024-09-20 10:00:00",61,21,2,1
245,55.00,"2024-09-20 10:00:00",61,21,2,2
246,42.00,"2024-09-20 10:00:00",61,21,2,3
247,81.00,"2024-09-20 10:00:00",61,21,3,1
248,86.00,"2024-09-20 10:00:00",61,21,3,2
249,62.00,"2024-09-20 10:00:00",61,21,3,3
250,88.00,"2024-09-20 10:00:00",61,27,4,1
251,64.00,"2024-09-20 10:00:00",61,27,4,2
252,69.00,"2024-09-20 10:00:00",61,27,4,3
253,80.00,"2024-09-20 10:00:00",62,21,1,1
254,85.00,"2024-09-20 10:00:00",62,21,1,2
255,90.00,"2024-09-20 10:00:00",62,21,1,3
256,87.00,"2024-09-20 10:00:00",62,21,2,1
257,63.00,"2024-09-20 10:00:00",62,21,2,2
258,68.00,"2024-09-20 10:00:00",62,21,2,3
259,52.00,"2024-09-20 10:00:00",62,21,3,1
260,39.00,"2024-09-20 10:00:00",62,21,3,2
261,44.00,"2024-09-20 10:00:00",62,21,3,3
262,72.00,"2024-09-20 10:00:00",62,27,4,1
263,77.00,"2024-09-20 10:00:00",62,27,4,2
264,82.00,"2024-09-20 10:00:00",62,27,4,3
265,64.00,"2024-09-20 10:00:00",63,21,1,1
266,69.00,"2024-09-20 10:00:00",63,21,1,2
267,74.00,"2024-09-20 10:00:00",63,21,1,3
268,71.00,"2024-09-20 10:00:00",63,21,2,1
269,76.00,"2024-09-20 10:00:00",63,21,2,2
270,81.00,"2024-09-20 10:00:00",63,21,2,3
271,78.00,"2024-09-20 10:00:00",63,21,3,1
272,83.00,"2024-09-20 10:00:00",63,21,3,2
